year_month,itm,ttProductCode,algo,algoName,algofill,fillQty,productClass,batch
2023/1,ACY,BRN,ASE,ASE,1732.0,1732.0,Energy,2020.0
2023/1,ACY,BRN,ASE,ASE & RangeTrader,78.0,78.0,Energy,2020.0
2023/1,ACY,BRN,Manual,Manual,0.0,1440.0,Energy,2020.0
2023/1,ACY,BRN,OMA,Manual,10.0,10.0,Energy,2020.0
2023/1,ACY,BRN,OTA,Manual,46.0,46.0,Energy,2020.0
2023/1,ACY,BRN,OTA,Pvt_Algo,62.0,62.0,Energy,2020.0
2023/1,ACY,BRN,OTA,RangeTrader,6.0,6.0,Energy,2020.0
2023/1,ACY,BRN,OTA,TT_Stop,32.0,32.0,Energy,2020.0
2023/1,ACY,CL,ASE,ASE,938.0,938.0,Energy,2020.0
2023/1,ACY,CL,Manual,Manual,0.0,316.0,Energy,2020.0
2023/1,ACY,CL,OTA,Pvt_Algo,60.0,60.0,Energy,2020.0
2023/1,ACY,G,ASE,ASE,2864.0,2864.0,Energy,2020.0
2023/1,ACY,G,ASE,ASE & RangeTrader,32.0,32.0,Energy,2020.0
2023/1,ACY,G,Complex,Manual,6.0,6.0,Energy,2020.0
2023/1,ACY,G,Manual,Manual,0.0,8382.0,Energy,2020.0
2023/1,ACY,G,OMA,Manual,464.0,464.0,Energy,2020.0
2023/1,ACY,G,OTA,Manual,356.0,356.0,Energy,2020.0
2023/1,ACY,G,OTA,Pvt_Algo,684.0,684.0,Energy,2020.0
2023/1,ACY,G,OTA,RangeTrader,8.0,8.0,Energy,2020.0
2023/1,ACY,G,OTA,TT_Stop,120.0,120.0,Energy,2020.0
2023/1,ACY,HO,ASE,ASE,744.0,744.0,Energy,2020.0
2023/1,ACY,HO,Manual,Manual,0.0,924.0,Energy,2020.0
2023/1,ACY,HO,OMA,Manual,2.0,2.0,Energy,2020.0
2023/1,ACY,HO,OTA,Manual,14.0,14.0,Energy,2020.0
2023/1,ACY,HO,OTA,TT_Iceberg,10.0,10.0,Energy,2020.0
2023/1,ACY,RB,ASE,ASE,64.0,64.0,Energy,2020.0
2023/1,ACY,RB,Manual,Manual,0.0,20.0,Energy,2020.0
2023/1,ACY,WBS,Manual,Manual,0.0,260.0,Energy,2020.0
2023/1,AFK,GE,ASE,ASE,2.0,2.0,American STIRs,2021.0
2023/1,AFK,GE,Manual,Manual,0.0,122.0,American STIRs,2021.0
2023/1,AFK,SR1,ASE,ASE,102.0,102.0,American STIRs,2021.0
2023/1,AFK,SR1,Manual,Manual,0.0,451.0,American STIRs,2021.0
2023/1,AFK,SR1,OMA,Manual,27.0,27.0,American STIRs,2021.0
2023/1,AFK,SR1,OTA,Manual,9.0,9.0,American STIRs,2021.0
2023/1,AFK,SR1,OTA,TT_Stop,10.0,10.0,American STIRs,2021.0
2023/1,AFK,SR3,ASE,ASE,1719.0,1719.0,American STIRs,2021.0
2023/1,AFK,SR3,Manual,Manual,0.0,4957.0,American STIRs,2021.0
2023/1,AFK,SR3,OMA,Manual,114.0,114.0,American STIRs,2021.0
2023/1,AFK,SR3,OTA,Manual,223.0,223.0,American STIRs,2021.0
2023/1,AFK,SR3,OTA,RangeTrader,58.0,58.0,American STIRs,2021.0
2023/1,AFK,SR3,OTA,TT_Stop,801.0,801.0,American STIRs,2021.0
2023/1,AFK,ZQ,ASE,ASE,2723.0,2723.0,American STIRs,2021.0
2023/1,AFK,ZQ,Manual,Manual,0.0,2083.0,American STIRs,2021.0
2023/1,AFK,ZQ,OMA,Manual,137.0,137.0,American STIRs,2021.0
2023/1,AFK,ZQ,OTA,Manual,121.0,121.0,American STIRs,2021.0
2023/1,AFK,ZQ,OTA,TT_Stop,188.0,188.0,American STIRs,2021.0
2023/1,AHG,DI1,ASE,ASE,61924.0,61924.0,Brazilian STIRs,2021.0
2023/1,AHG,DI1,ASE,ASE & RangeTrader_Gen2,11884.0,11884.0,Brazilian STIRs,2021.0
2023/1,AHG,DI1,Manual,Manual,0.0,6796.0,Brazilian STIRs,2021.0
2023/1,AHG,DI1,OTA,Manual,7314.0,7314.0,Brazilian STIRs,2021.0
